keyword,year,month
number(s): 4375Zz,2013,05
majority tournament,2013,June
majority tournament,2013,06
ProVerif,2015,September
ProVerif,2016,February
Non-negative Matrix Factorization (NMF),2011,December
audio fingerprinting,2012,December
new approach based,2015,July
H52,2012,April
encompassing social network analytics,2015,January
Image understanding,2016,
Image understanding,2014,01
Image understanding,2014,May
Image understanding,2015,
Image understanding,2014,October
Image understanding,2013,November
Image understanding,2015,June
non,2015,June
Collaborative Filtering,2013,October
vertically integrated firms,2011,12
large scale fading correlation,2010,06
motion vectors,2014,03
non-differentiable convex optimization,2017,05
Audio source separation,2012,March
Audio source separation,2011,May
Audio source separation,2011,August
Audio source separation,2011,08
Audio source separation,2012,August
Audio source separation,2012,08
Audio source separation,2015,April
underlying motion space,2014,
tools,2015,September
two standard classification tasks,2011,
Index Terms—Classification,2012,April
Index Terms—Classification,2012,04
bipolar fuzzy sets,2012,July
Particle tracking,2013,November
Bi-level programming · Metaheuristics · Competitive location ·,2015,01
discrete prolate spheroidal (DPS) sequences,2013,June
file hosting applications,2011,05
runtime toolkit overloading,2011,
runtime toolkit overloading,2011,October
despite growing link capacities,2014,
Flutter,2016,March
gives near perfect scaling,2013,May
Forums de discussion,2011,
accurately identify anomalous behaviors,2015,February
entrepreneurs de morale,2013,July
spread,2011,September
acoustic realization,2012,January
Probability Theory,2011,07
Probability Theory,2011,June
Probability Theory,2011,July
kernel,2011,September
sequential Monte Carlo,2012,July
Structural model,2016,
Structural model,2014,October
travail,2011,June
Identifying Code,2011,September
framework,2011,July
framework,2012,April
framework,2011,July
appropriate sampling conditions,2013,June
appropriate sampling conditions,2013,01
radio resource allocation,2012,October
also offer exciting opportunities,2011,
energy consumption,2016,09
linear,2014,June
Uncertainty Keywords Uncertainty,2017,05
object tracking,2012,July
Interface Homme Machine,2014,October
Side-Channel,2013,June
Open source,2011,February
Open source,2011,July
handover probability,2014,02
handover probability,2012,02
Index Terms— speech recognition,2012,
simple yet effective solution,2011,
perot lasers,2015,October
Declarative,2012,April
display statistical tests results,2011,
physics of optic and micro-wave propagation,2014,
continuous mixture π f,2015,October
continuous mixture π f,2015,07
variational method,2016,April
called analysis decomposable prior,2013,
significantly narrowing,2013,May
Hermite processes,2011,03
Hermite processes,2012,03
Antenna miniaturization,2011,March
every user gets neither,2013,August
opinion minig,2012,May
Non- negative matrix factorization,2011,February
severe queuing delays,2014,
bulimia,2012,January
large image dataset demonstrated,2013,01
whose bits equal,2011,
General terms: Human Factors,2011,
Vertical foreclosure,2011,December
frequency spectrum analysis method,2014,September
Fading,2015,June
Side Channel Analysis,2011,December
Positioning,2012,May
fonctions de Meijer,2011,January
fiction,2012,August
ranking,2015,01
provide high speed internet,2013,September
Software attacks,2014,December
tournament,2012,July
tournament,2015,01
tournament,2013,01
propaga- tion,2015,April
H51 [Multimedia Information Systems]: Animations,2014,May
Central banks,2011,07
Central banks,2013,01
Data embedding,2011,August
Data embedding,2011,08
Data embedding,2012,August
Data embedding,2012,08
making cryptographic implementations resilient,2011,June
dynamically resolve inconsistencies directly,2012,August
harq packet error rate,2014,May
EM Information Leakage,2012,August
Index Terms—Change detection,2014,01
Hardness,2016,May
Hardness,2015,April
Additional Key Words and Phrases: Autonomic Smart Micro-Grid,2014,
MEG,2014,June
MEG,2015,
MEG,2014,May
60G22,2011,03
60G22,2012,03
search,2011,June
search,2014,April
Spectrum,2014,January
sparse signal,2015,March
knowledge bases,2014,November
Single Sign-on,2014,January
polarization- independent,2016,01
online maximum likelihood procedures,2013,10
planck collaboration publicly released,2014,11
planck collaboration publicly released,2014,November
label switching cannot occur,2012,01
information visualization,2016,01
information visualization,2016,January
(according to ACM CCS): I37 [Computer Graphics]: Three-Dimensional,2011,01
(according to ACM CCS): I37 [Computer Graphics]: Three-Dimensional,2014,01
Circuit-level Design,2011,July
Circuit-level Design,2011,
model order selection,2012,09
Digital Geometry Processing,2012,August
approximate parallelism,2015,
supérieur,2011,January
outil en mode libre,2011,September
dot nanostructure laser operating,2013,05
Mumford- Shah functional,2014,October
Index Terms—Multichannel phase unwrapping,2011,05
speed,2011,October
ever increasing importance,2013,May
standards describe,2013,September
Channel Coding,2014,11
random modular integer,2011,
new annealing schedule,2016,May
array waveguide devices,2011,June
corps,2012,September
electroabsorption modulated lasers,2013,January
enlightens hlorpikrinovaya acid damage,2011,
enlightens hlorpikrinovaya acid damage,2012,
résumé vidéo,2013,September
optical-code-division multiple access,2012,May
iterative conditional estimation,2013,June
VHDL-AMS Language,2013,January
VHDL-AMS Language,2013,
excellent detection score,2011,
secondary user makes use,2011,01
secondary user makes use,2011,January
Bench- mark,2015,November
Volterra kernel,2011,May
in vivo diagnosis,2012,June
index terms — mode,2011,04
Object-based metric,2012,October
CSMA,2012,October
behaviors using autonomic computing,2013,
UCONAIJO Cloud,2013,December
codeword error probability taking,2014,May
Post-optimization,2013,June
investigate several types,2012,September
MANET,2011,
MANET,2012,
MANET,2011,July
Automatic Troubleshooting Support,2014,01
self-similarity,2012,October
stereo,2012,January
PMCC,2012,April
fluorescence paramétrique en cavité,2011,July
exploration,2011,November
dot lasers appl,2014,09
relative entropy,2011,January
Formal Methods,2010,05
existing telecommunications network even,2014,August
existing telecommunications network even,2014,July
existing telecommunications network even,2013,August
existing telecommunications network even,2013,July
fusion,2011,July
fusion,2016,07
sensors,2014,
implies rather simple rules,2012,March
synchronization mechanisms linking visual,2012,September
wasserstein original metric,2011,
WDM Optical Networks,2015,February
power per square meter,2011,
systèmes embarqués,2013,August
template deformation,2013,September
template deformation,2015,
smile,2012,June
GPU,2011,01
GPU,2014,01
Architecture exploration,2014,
SD-OCT,2016,05
SD-OCT,2015,05
optimal rn transmit power,2014,February
avoid frequently channel switching,2011,June
Chromatic dispersion,2012,July
Chromatic dispersion,2013,January
automobile,2011,February
Physical Layer Network Cod- ing,2012,
Cost,2016,April
UWB channel,2013,April
non-,2014,December
automatic dance analysis tool,2012,March
dependability,2011,July
Coded exposure,2016,March
sparse communication,2013,02
sparse communication,2014,12
sparse communication,2014,July
sparse communication,2013,12
sparse communication,2013,July
sparse communication,2010,March
sparse communication,2010,02
sparse communication,2013,March
sparse communication,2013,02
Markov Decision Process,2015,April
correlation,2012,
— secret key generation,2015,April
Désassemblage,2014,May
small mobile phone keypads,2013,May
translation invariant part retrieval,2011,10
Exposure Index,2014,December
Exposure Index,2014,June
integrated firms compete,2011,12
height field,2011,December
GPU algorithms,2015,August
sampling design,2016,06
distributed,2014,December
Virtual agent,2011,September
could use alignment strategies,2014,October
Virtual Environment,2014,
low-power,2013,November
temporal context kernel,2011,November
Windowing Systems,2012,April
transmissions scheduling,2013,March
filters implementing diagonal loading,2012,07
support points θ k,2015,October
support points θ k,2015,07
multi-view,2016,January
multi-view,2014,December
dimensional shape reconstruction,2013,June
dimensional shape reconstruction,2013,01
urban areas,2015,February
art matching algorithms fail,2013,August
contain cooler dust,2011,June
ILP,2012,June
content acquisition,2014,August
content acquisition,2014,July
texture classification,2013,June
proposed technique,2014,June
large deviations,2013,02
large deviations,2010,March
large deviations,2010,02
large deviations,2013,March
large deviations,2013,02
Natural Language Processing,2014,July
Humanoid robot,2011,May
famous nonnegative matrix factorization,2010,12
HbbTV,2012,July
HbbTV,2012,July
HbbTV,2011,June
accurate,2011,December
multi-scale,2011,October
constrained 3d humanoid models,2012,November
experiments summarizing user evaluations,2015,December
stuck-at,2012,June
P2P live-streaming,2011,04
noise,2016,March
sought consensus provided,2013,April
Identity management,2013,August
Tracy-Widom fluctua-,2016,01
Interactive Shape Modeling,2012,April
wb anatomical models,2011,
Spectral clustering,2012,July
Spectral clustering,2012,07
Timefrequency analysis,2014,July
Timefrequency analysis,2014,November
Timefrequency analysis,2013,July
Timefrequency analysis,2013,November
backscatter,2011,September
virtualisation,2012,June
cet articlè a,2013,October
Index Terms— SAR images time series,2012,
speech en-,2016,07
simple analytical expression,2014,03
consécration,2012,March
haul ofdm systems,2012,
mathematical models in psychology,2013,June
Fields,2013,April
distinguisher,2014,September
distinguisher,2014,April
Historical documents,2011,01
Historical documents,2012,November
bandwidth estimation,2013,March
Mobilité,2012,June
uation/methodology,2014,June
Virtual Agents,2011,September
sensor arrays,2013,11
proposed method permits,2014,May
Laser à fibre,2011,July
geometry processing,2015,August
geometry processing,2014,August
genetic models,2015,12
Brain tumor,2013,04
Brain tumor,2012,01
Brain tumor,2011,June
volumetric breast density,2014,August
volumetric breast density,2014,08
robust,2015,September
Delta Sigma ADCs,2011,December
minimal linear codes,2016,January
minimal linear codes,2016,02
minimal linear codes,2015,January
minimal linear codes,2015,02
UWB communications,2012,
securely delegate computational tasks,2012,07
visual attention put forward,2015,
